CV Data Logger started on:,2020-2-28_141452
Timestamp (millisec since midnight today), CoM X (cm), CoM Y (cm), Theta (deg), Goal X (cm), Goal Y (cm)
51292489,46.5081593789,12.3941680134,150.918905757,6.19400440426,41.1998079163
51293288,46.5081593789,12.3941680134,149.739011475,6.19400440426,41.1998079163
51293790,46.5081593789,12.3941680134,150.918905757,6.19606452978,41.1361536513
51293937,46.5081593789,12.3941680134,149.739011475,6.19400440426,41.1998079163
51294086,46.5081593789,12.3941680134,149.739011475,6.19400440426,41.1998079163
51294423,46.5081593789,12.3941680134,149.739011475,6.19606452978,41.1361536513
51294571,46.5081593789,12.3941680134,149.739011475,6.19400440426,41.1998079163
51294718,46.5081593789,12.3941680134,150.918905757,6.19606452978,41.1361536513
51295287,46.5081593789,12.3941680134,150.918905757,6.19606452978,41.1361536513
51295825,46.5081593789,12.3941680134,149.739011475,6.19606452978,41.1361536513
51295974,46.5081593789,12.3941680134,148.832816736,6.19606452978,41.1361536513
51296123,46.5081593789,12.3941680134,148.832816736,6.19400440426,41.1998079163
51296492,46.5081593789,12.3941680134,148.832816736,6.19606452978,41.1361536513
51296640,46.5081593789,12.3941680134,149.739011475,6.19400440426,41.1998079163
51297289,46.5081593789,12.3941680134,148.832816736,6.19606452978,41.1361536513
51297437,46.5081593789,12.3941680134,148.832816736,6.19606452978,41.1361536513
51297824,46.5081593789,12.3941680134,149.739011475,6.19606452978,41.1361536513
51297973,46.5081593789,12.3941680134,150.918905757,6.19606452978,41.1361536513
51298119,46.5081593789,12.3941680134,149.739011475,6.19606452978,41.1361536513
51298428,46.5081593789,12.3941680134,148.832816736,6.19606452978,41.1361536513
51298576,46.5081593789,12.3941680134,150.031191398,6.19606452978,41.1361536513
51299090,46.5081593789,12.3941680134,148.832816736,6.19606452978,41.1361536513
51299237,46.5081593789,12.3941680134,149.739011475,6.19606452978,41.1361536513
51299726,46.5081593789,12.3941680134,150.031191398,6.19606452978,41.1361536513
51299874,46.5081593789,12.3941680134,150.918905757,6.19606452978,41.1361536513
51300027,46.5081593789,12.3941680134,149.739011475,6.19606452978,41.1361536513
51300459,46.5081593789,12.3941680134,148.832816736,6.19606452978,41.1361536513
51300610,46.5081593789,12.3941680134,150.031191398,6.19606452978,41.1361536513
51301096,46.2004092999,12.3217589084,152.951761921,6.27351708092,41.1383423613
51301246,46.3594346532,12.1988277983,150.031191398,6.19606452978,41.1361536513
51301394,46.3800359084,11.5622851477,150.031191398,6.19606452978,41.1361536513
51301697,46.5782036465,10.2299230014,148.636178258,6.19606452978,41.1361536513
51303767,43.8146333115,9.38727826095,150.347087253,6.19606452978,41.1361536513
51303915,42.5980538739,8.65206198543,148.832816736,6.27351708092,41.1383423613
51304066,42.3636360949,8.70915012051,147.879824533,6.19606452978,41.1361536513
51304215,42.671386174,8.78155922554,144.607859413,6.19606452978,41.1361536513
51305139,43.7136871612,12.5063372489,136.487411008,6.19606452978,41.1361536513
51305285,43.3956364545,12.7521994692,133.130987468,6.19606452978,41.1361536513
51305634,42.5840286838,13.8760891404,133.130987468,6.19400440426,41.1998079163
51305783,42.1193133769,13.8629568804,131.7547796,6.19606452978,41.1361536513
