CV Data Logger started on:,2020-7-17_151641
Timestamp (millisec since midnight today), CoM X (cm), CoM Y (cm), Theta (deg), Goal X (cm), Goal Y (cm)
55005404,16.6500988088,41.4952837652,-13.686904402,55.349715274,7.48330806255
55005565,16.6500988088,41.4952837652,-15.002882253,55.349715274,7.48330806255
55006069,16.5726462577,41.4930950552,-14.5404306836,54.8219682946,7.02240723719
55006516,16.5664658811,41.6840578504,-15.8067307229,54.8219682946,7.02240723719
55007013,16.6500988088,41.4952837652,-17.5797178255,55.0193038143,8.11109587319
55007181,16.6500988088,41.4952837652,-17.0554601048,54.92949051,8.49083275357
55008401,16.6500988088,41.4952837652,-15.002882253,54.92949051,8.49083275357
55008939,16.6480386833,41.5589380302,-15.002882253,54.4565347011,8.73231755386
55009106,16.6459785578,41.6225922953,-16.8226996937,54.4565347011,8.73231755386
55009272,16.6480386833,41.5589380302,-13.2574488726,54.4565347011,8.73231755386
55009440,16.6500988088,41.4952837652,-15.4917697957,54.4565347011,8.73231755386
55009608,16.6500988088,41.4952837652,-15.4917697957,54.8779873721,10.0821893801
55009773,16.6500988088,41.4952837652,-15.002882253,54.865626619,10.4641149704
55009940,16.6500988088,41.4952837652,-15.4917697957,54.8594462424,10.6550777656
55010108,16.5705861321,41.5567493202,-15.002882253,54.8553259914,10.7823862957
55010274,16.6500988088,41.4952837652,-15.002882253,54.8553259914,10.7823862957
55010439,16.6521589343,41.4316295001,-14.1412466117,55.0938640214,10.5979896305
55010609,16.6500988088,41.4952837652,-15.4917697957,55.2549495002,10.4114042553
55010768,16.6500988088,41.4952837652,-15.4917697957,55.2549495002,10.4114042553
55010929,16.6500988088,41.4952837652,-15.002882253,55.2549495002,10.4114042553
55011088,16.6480386833,41.5589380302,-16.8226996937,55.2549495002,10.4114042553
55011262,16.6459785578,41.6225922953,-18.133055532,54.7902341934,10.3982719954
55011445,16.6459785578,41.6225922953,-16.3007982061,54.7086613912,10.5233918155
55011609,16.6480386833,41.5589380302,-15.4917697957,54.7086613912,10.5233918155
55011771,16.6480386833,41.5589380302,-16.8226996937,54.7086613912,10.5233918155
55012099,16.6500988088,41.4952837652,-15.002882253,54.7086613912,10.5233918155
55012262,16.6500988088,41.4952837652,-16.8226996937,54.7086613912,10.5233918155
55012421,16.6500988088,41.4952837652,-14.5404306836,55.1849052327,12.5756492674
55012592,16.6480386833,41.5589380302,-15.4917697957,55.1807849816,12.7029577975
55012749,16.6480386833,41.5589380302,-15.4917697957,55.1807849816,12.7029577975
55012913,16.6500988088,41.4952837652,-16.8226996937,55.4131426351,12.7095239275
55013078,16.6500988088,41.4952837652,-14.1412466117,55.4131426351,12.7095239275
55013241,16.6480386833,41.5589380302,-15.4917697957,55.5804084904,12.3319757571
55013409,16.6500988088,41.4952837652,-14.1412466117,55.4275635137,12.2639440721
55013570,16.6500988088,41.4952837652,-15.002882253,55.2726584114,12.2595666521
55013742,16.6459785578,41.6225922953,-15.4917697957,55.2726584114,12.2595666521
55013905,16.6439184323,41.6862465603,-14.5404306836,54.1821423188,12.4198875074
55014069,16.6459785578,41.6225922953,-15.002882253,51.8565056589,12.4178804727
55014234,16.6480386833,41.5589380302,-15.4917697957,51.8565056589,12.4178804727
55014405,16.6459785578,41.6225922953,-16.3007982061,46.9543335561,12.9801886589
55014568,16.6480386833,41.5589380302,-15.002882253,46.51227963,12.2668594833
55014732,16.6480386833,41.5589380302,-16.8226996937,48.7303940744,10.8004410016
55014905,16.6480386833,41.5589380302,-15.4917697957,50.6386983143,9.32526767995
55015078,16.6459785578,41.6225922953,-15.002882253,50.5167552203,8.302422019
55015244,16.6480386833,41.5589380302,-15.4917697957,50.5167552203,8.302422019
55015407,16.5705861321,41.5567493202,-15.002882253,49.7039195425,7.06891517294
55015570,16.6480386833,41.5589380302,-15.4917697957,49.4715618891,7.06234904297
55015731,16.6500988088,41.4952837652,-14.1412466117,49.4715618891,7.06234904297
55015916,16.6500988088,41.4952837652,-15.4917697957,48.378985671,7.28632416333
55016087,16.6480386833,41.5589380302,-15.002882253,48.0588748388,7.59584064867
55016255,16.5705861321,41.5567493202,-15.002882253,48.439957218,7.79774699381
55016424,16.4136209043,41.6160261653,-15.002882253,48.8984921483,8.00184204894
55016592,16.4848930789,41.8091776705,-8.26459805057,49.3570270786,8.20593710407
55016748,16.9290071306,42.458852581,-11.0050105026,49.8930145601,8.41222086919
55016911,16.5924152943,43.2776031869,-9.98365526028,50.3474292394,8.74362445444
55017080,15.8014087787,43.7649502074,-8.88797116624,50.722331242,9.13649359476
55017246,15.5608106232,44.0130011377,-14.1881309065,50.9423281423,9.5249853151
55017762,14.1831457068,43.4643702374,-29.9688086025,51.8470372499,10.3151010157
55017943,13.8959968829,42.7554184817,-36.611543692,52.2384202566,10.1987360356
55018128,13.8432658379,41.989378591,-37.705040779,52.2384202566,10.1987360356
55018286,13.3299397372,41.0828979102,-40.0553655695,52.7929488677,9.83213141513
55018449,12.4923825532,40.6132422449,-43.5125889916,52.7991292443,9.64116861995
55018633,12.3395375764,40.5452105599,-40.0553655695,52.7991292443,9.64116861995
55018777,12.6514079065,40.4903111348,-35.2925311655,52.878641921,9.57970306488
55019155,12.3902084958,41.3749047156,-37.705040779,53.4105091514,9.91329536012
55019310,12.229123017,41.5614900908,-38.9009657638,53.4063889004,10.0406038902
55019461,11.9028318083,42.0619693714,-47.0311547687,53.6284459262,10.3654413455
55019967,10.90212902,41.8425533463,-61.8916319546,53.9848067992,11.3311988714
55020125,10.8370372219,41.4584390459,-63.6629418929,54.0601992248,11.3970418464
55020492,9.78154326313,40.5366373952,-70.3175645034,54.0601992248,11.3970418464
55020659,10.0015401635,40.9251291155,-65.4861278614,54.8388449873,11.2916204162
55020810,9.99741991242,41.0524376457,-59.4147441908,54.8388449873,11.2916204162
55020969,9.68142933129,41.2346456009,-74.0317755734,54.7675728127,11.0984689111
55021563,5.8500042844,39.8521248001,-129.465537544,54.7675728127,11.0984689111
55021702,5.61764663097,39.8455586701,-122.274638777,54.7675728127,11.0984689111
55022040,5.12080153433,38.4298438689,-122.090216342,55.3624717156,11.8798297717
55022182,5.74660232004,38.2563907536,-121.310973387,55.3542312136,12.134446832
55022338,5.74042194349,38.4473535488,-116.223130414,55.4255033882,12.3275983371
55022692,5.34285856018,38.7546813241,-123.721550587,55.5598072353,12.9685184077
55022846,4.95147555342,38.8710463043,-130.276740222,55.7167724631,12.9092415626
55022999,5.11050090675,38.7481151942,-136.394871144,55.7167724631,12.9092415626
55023155,5.43061173891,38.4385987088,-138.868093379,55.951190242,12.8521534276
55023309,6.06465302669,38.0105285333,-138.868093379,56.0327630442,12.7270336074
55023558,7.05588740595,36.1271651014,-127.284287294,55.9594307441,12.5975363673
55023723,7.15394121226,35.4928111608,-127.284287294,55.8840383185,12.5316933923
55023884,6.942184814,34.8497023802,-126.264823154,55.8840383185,12.5316933923
55024237,5.57894077616,33.8554916245,-123.030230088,55.8840383185,12.5316933923
55024403,5.42403567387,33.8511142045,-122.090216342,56.1691270168,13.304299413
55024714,5.56864014857,34.1737629498,-122.090216342,56.2280384383,13.8793765085
55024873,5.17931726733,34.2264736649,-126.795721091,56.2280384383,13.8793765085
55025028,5.18137739285,34.1628193998,-125.28958579,56.2280384383,13.8793765085
55025186,6.82642209654,33.6358939241,-114.140932861,56.4418549621,14.458831024
55025346,7.47694438846,32.6985896281,-106.525598727,56.5946999389,14.5268627091
55025511,7.40567221387,32.5054381229,-102.631496284,56.67215249,14.5290514191
55025761,6.34193775301,31.8382535324,-102.631496284,56.8332379689,14.3424660439
55025920,6.26448520187,31.8360648224,-100.630341422,56.7557854177,14.3402773339
55026080,6.3398776275,31.9019077975,-100.630341422,56.7557854177,14.3402773339
55026423,6.03212754843,31.8294986925,-102.631496284,56.5193075133,14.461019734
55026634,6.17673202314,32.1521474378,-102.222217393,56.5193075133,14.461019734
55026783,5.92789336556,32.6548154283,-105.08347236,56.7434246646,14.7222029242
55026947,5.85044081442,32.6526267183,-105.08347236,56.7434246646,14.7222029242
55027397,7.59353932443,31.4913473019,-80.0055840472,56.9345798077,16.0018543554
55027558,7.1329442686,31.3509065119,-82.0218766176,56.9304595567,16.1291628855
55027967,6.90058661516,31.3443403819,-81.8378457822,57.2340893847,16.3288805207
55028141,6.74156126184,31.467271492,-83.9305753335,57.2340893847,16.3288805207
55028299,6.74156126184,31.467271492,-82.0218766176,57.2361495102,16.2652262556
55028835,5.96703575039,31.4453843921,-86.0972934407,57.0058519823,16.1950058606
55028993,6.19321302728,31.6429133173,-86.0972934407,57.0058519823,16.1950058606
55029145,6.80665305988,31.8513857924,-78.938390324,57.0017317313,16.3223143907
55029548,8.47023889323,30.7515719311,-65.4861278614,57.0544627762,17.0883542814
55029689,8.16454893969,30.615508561,-63.6629418929,57.0462222741,17.3429713417
55029846,8.16454893969,30.615508561,-67.3596506802,57.1195545742,17.4724685818
55030379,8.0096438374,30.611131141,-65.4861278614,57.4067033981,18.1814203374
55030531,8.01376408843,30.4838226109,-61.8916319546,57.4067033981,18.1814203374
55030706,8.17278944176,30.3608915008,-71.7324519888,57.4067033981,18.1814203374
55030863,8.86162189999,30.6352069509,-69.2814554843,57.3313109725,18.1155773624
55031020,8.86162189999,30.6352069509,-68.7186802035,57.2538584214,18.1133886524
55031177,8.66428638035,29.5465183149,-78.0099629437,57.0235608934,18.0431682573
55031330,8.22635270521,28.7058806092,-82.0218766176,57.0235608934,18.0431682573
55031784,6.77535548863,28.0277524688,-80.2350578916,57.0845324405,18.5545910878
55032467,5.92131730052,28.0673309239,-81.6424615732,57.155804615,18.747742593
55032645,5.91101667293,28.3856022492,-81.8378457822,57.1146021047,20.0208278942
55032787,5.4504216171,28.2451614591,-80.0055840472,57.2633268304,20.2161681094
55032948,5.14267153804,28.1727523541,-79.7624982333,57.2612667049,20.2798223744
55033304,6.38397248187,28.1441174489,-92.7847949672,57.3407793816,20.2183568194
55033461,6.77947573966,27.9004439386,-88.1463094292,57.3407793816,20.2183568194
55033621,7.32988409975,27.6611478483,-83.6597566942,57.1084217281,20.2117906894
55033956,8.2963969728,26.5416355971,-80.0055840472,56.9535166259,20.2074132694
55034104,8.39033052808,26.0345901866,-79.7624982333,56.9493963748,20.3347217995
55034261,8.0805203235,26.0258353467,-80.0055840472,56.9432159983,20.5256845947
55034601,7.84816267006,26.0192692167,-79.7624982333,56.9164343665,21.3531900405
