CV Data Logger started on:,2020-7-17_154327
Timestamp (millisec since midnight today), CoM X (cm), CoM Y (cm), Theta (deg), Goal X (cm), Goal Y (cm)
56610451,43.9175170628,42.138401152,19.2899074093,81.8232755099,-0.879467864043
56610655,43.9175170628,42.138401152,20.662024314,81.7478830843,-0.945310839095
56610812,43.9175170628,42.138401152,18.7699003668,81.7478830843,-0.945310839095
56611286,43.9175170628,42.138401152,20.662024314,81.6704305332,-0.947499549086
56611490,43.9175170628,42.138401152,19.2899074093,81.7478830843,-0.945310839095
56612031,43.9175170628,42.138401152,19.2899074093,81.6745507842,-1.07480807921
56612182,43.9175170628,42.138401152,19.2899074093,81.6745507842,-1.07480807921
56612510,43.9175170628,42.138401152,19.2899074093,81.6766109097,-1.13846234427
56612670,43.9175170628,42.138401152,19.2899074093,81.6766109097,-1.13846234427
56612828,43.9175170628,42.138401152,19.2899074093,81.6766109097,-1.13846234427
56612979,43.9175170628,42.138401152,18.7699003668,81.6786710352,-1.20211660933
56613414,43.9175170628,42.138401152,19.2899074093,81.6032786096,-1.26795958438
56613576,43.9175170628,42.138401152,20.662024314,81.6032786096,-1.26795958438
56613739,43.9175170628,42.138401152,19.2899074093,81.6032786096,-1.26795958438
56614113,43.9175170628,42.138401152,20.662024314,81.6053387351,-1.33161384944
56614681,43.5912258541,42.6388804325,23.3392622556,81.6073988606,-1.3952681145
56614836,43.1936624708,42.9462082079,22.6343626381,81.6094589862,-1.45892237956
56615388,41.8572000646,41.1244920063,10.6636821231,81.532006435,-1.46111108955
56615898,42.9238268695,39.3069715495,5.76798722968,81.532006435,-1.46111108955
56616050,43.2274566976,39.5066891846,5.76798722968,81.532006435,-1.46111108955
56616397,42.9847984165,39.8183943799,4.38729728835,81.4586741349,-1.59060832967
56616608,42.7565610141,39.6845197198,8.72115738883,81.4586741349,-1.59060832967
56616923,42.4261495544,40.3123075305,8.94085289333,81.4586741349,-1.59060832967
56617477,40.461826237,38.7276987092,-1.23256275022,81.4586741349,-1.59060832967
56617629,40.3946743135,38.4072386739,-2.52817859709,81.3853418348,-1.72010556978
56617982,41.0307757268,37.9155142334,-1.14885177494,81.3853418348,-1.72010556978
56618143,41.5750037103,37.8671809383,-4.06859381328,81.3853418348,-1.72010556978
56618304,42.0397190172,37.8803131982,-5.27008165592,81.3874019603,-1.78375983484
56618484,41.8827537894,37.9395900433,-6.62961710611,81.3874019603,-1.78375983484
56618650,40.9512630501,37.9769797885,1.61867464119,81.3874019603,-1.78375983484
56618816,40.7963579478,37.9726023685,3.0901907971,81.3874019603,-1.78375983484
56618983,40.7106648946,38.2250307187,3.0901907971,81.3874019603,-1.78375983484
56619148,40.1499559069,38.7825981343,0.233966610312,81.3894620858,-1.8474140999
56619311,39.1451328676,38.6904906394,-1.41614014435,81.3894620858,-1.8474140999
56619624,38.0595692445,36.3024521823,-12.3539013792,81.3935823369,-1.97472263002
56619794,38.0781103742,35.7295637967,-16.0093491144,81.3956424624,-2.03837689508
56619953,38.3125281531,35.6724756616,-15.4917697957,81.3956424624,-2.03837689508
56620109,38.9280283113,35.8172938717,-12.3539013792,81.3977025879,-2.10203116014
56620269,39.1706865923,35.5055886764,-15.4917697957,81.3977025879,-2.10203116014
56620532,38.9383289389,35.4990225464,-13.686904402,81.3977025879,-2.10203116014
56620702,38.1535027998,35.7954067718,-8.56685612936,81.40594309,-2.35664822039
56620862,38.0657496211,36.1114893871,-47.6866206917,81.40594309,-2.35664822039
56621020,37.8169109635,36.6141573776,-11.7901028281,81.40594309,-2.35664822039
56621274,36.3514928683,36.3816090926,-18.5799717908,81.4080032155,-2.42030248545
56621424,36.1376763445,35.8021545771,-42.8624843515,81.410063341,-2.48395675051
56621576,35.8422870186,35.3478198817,-22.7349376285,81.410063341,-2.48395675051
56621730,35.475625518,34.7003336811,-28.3678132066,81.410063341,-2.48395675051
56621884,35.3289609178,34.4413392009,-29.6529127471,81.410063341,-2.48395675051
56622484,36.2789927867,33.8310610702,-32.1201754673,81.410063341,-2.48395675051
56622681,35.9465212015,34.5225031459,-23.4975245256,81.4978165197,-2.80003936582
