Time,Extension,Load
(s),(mm),(N)
"0.00000","-152.02065","0.01617"
"0.00300","-152.02065","0.00543"
"0.01300","-152.02058","0.00892"
"0.01500","-152.02057","-0.00370"
"0.02100","-152.02052","0.00732"
"0.02700","-152.02052","-0.00621"
"0.03100","-152.02052","0.00585"
"0.04000","-152.02052","0.01689"
"0.04200","-152.02052","0.00547"
"0.04300","-152.02052","-0.00615"
"0.04900","-152.02052","0.00474"
"0.05900","-152.02052","0.00769"
"0.06600","-152.02052","0.02310"
"0.06800","-152.02052","0.00810"
"0.07200","-152.02052","-0.00492"
"0.07700","-152.02052","0.01284"
"0.08200","-152.02052","-0.00086"
"0.09200","-152.02052","0.00602"
"0.09400","-152.02052","-0.00981"
"0.10200","-152.02052","0.00184"
"0.11200","-152.02052","-0.00557"
"0.11300","-152.02052","0.00461"
"0.12300","-152.02052","0.00505"
"0.13300","-152.02052","-0.00297"
"0.14300","-152.02052","0.00950"
"0.14900","-152.02052","-0.00059"
"0.15600","-152.02052","0.01132"
"0.16000","-152.02054","-0.00107"
"0.16800","-152.02054","0.00922"
"0.17500","-152.02054","0.02663"
"0.17900","-152.02054","0.01640"
"0.18500","-152.02054","-0.00106"
"0.19100","-152.02054","-0.01356"
"0.19300","-152.02054","-0.00097"
"0.20100","-152.02054","-0.01277"
"0.20500","-152.02054","0.00294"
"0.21500","-152.02054","0.00222"
"0.22200","-152.02054","0.01885"
"0.22600","-152.02054","0.00357"
"0.23400","-152.02054","0.01675"
"0.23600","-152.02054","0.02870"
"0.23700","-152.02054","0.01496"
"0.23800","-152.02054","0.00060"
"0.24200","-152.02054","-0.01187"
"0.24900","-152.02054","0.00310"
"0.25900","-152.02054","0.00809"
"0.26500","-152.02054","-0.00399"
"0.27100","-152.02054","0.00679"
"0.28100","-152.02054","0.00350"
"0.28400","-152.02054","-0.00931"
"0.28700","-152.02054","0.00225"
"0.29700","-152.02054","0.01080"
"0.30400","-152.02058","-0.00228"
"0.31400","-152.02058","0.00271"
"0.31900","-152.02058","-0.01168"
"0.32200","-152.02058","-0.00156"
"0.32300","-152.02058","0.00877"
"0.32700","-152.02058","-0.00424"
"0.33300","-152.02058","0.01121"
"0.34100","-152.02058","-0.00315"
"0.35100","-152.02058","0.00092"
"0.35700","-152.02058","-0.01075"
"0.36600","-152.02058","0.00492"
"0.37600","-152.02058","0.00544"
"0.38000","-152.02058","-0.00724"
"0.38300","-152.02058","0.00358"
"0.38700","-152.02058","0.01421"
"0.39400","-152.02058","0.02689"
"0.39500","-152.02058","0.01513"
"0.39600","-152.02058","0.00405"
"0.39800","-152.02058","-0.00659"
"0.40300","-152.02058","0.00700"
"0.41200","-152.02058","-0.00511"
"0.41800","-152.02058","0.00597"
"0.42700","-152.02058","0.01906"
"0.43700","-152.02058","0.00819"
"0.44700","-152.02058","0.00716"
"0.45500","-152.02058","-0.00424"
"0.46200","-152.02058","0.00635"
"0.46400","-152.02058","-0.00445"
"0.46900","-152.02058","0.00779"
"0.47300","-152.02058","-0.00646"
"0.47900","-152.02058","0.00526"
"0.48200","-152.02058","0.01562"
"0.48400","-152.02058","0.00320"
"0.48800","-152.02058","-0.00977"
"0.49100","-152.02058","0.00059"
"0.49400","-152.02058","0.01104"
"0.50000","-152.02058","-0.00059"
"0.51000","-152.02061","0.00160"
"0.51800","-152.02061","-0.00918"
"0.52400","-152.02061","0.00773"
"0.53400","-152.02061","0.00847"
"0.54100","-152.02061","-0.00311"
"0.54600","-152.02061","0.00885"
"0.55600","-152.02061","-0.00257"
"0.55900","-152.02061","0.01084"
"0.56600","-152.02061","0.00006"
"0.57500","-152.02061","0.01023"
"0.58500","-152.02061","-0.00068"
"0.59000","-152.02061","0.01510"
"0.59600","-152.02061","0.00378"
"0.60000","-152.02061","0.01702"
"0.60500","-152.02061","0.00447"
"0.60700","-152.02061","-0.00888"
"0.61200","-152.02061","0.00491"
"0.61900","-152.02061","-0.00548"
"0.62700","-152.02061","0.00746"
"0.63200","-152.02061","-0.00762"
"0.63600","-152.02061","0.00379"
"0.64000","-152.02061","0.01725"
"0.64300","-152.02061","0.00633"
"0.65300","-152.02061","0.01014"
"0.65500","-152.02061","-0.00493"
"0.66300","-152.02061","-0.02027"
"0.66700","-152.02061","-0.00988"
"0.66900","-152.02061","0.00109"
"0.67200","-152.02061","-0.00925"
"0.67700","-152.02061","0.00356"
"0.68700","-152.02061","0.01467"
"0.69500","-152.02061","0.02530"
"0.69700","-152.02061","0.01435"
"0.70000","-152.02061","0.00196"
"0.71000","-152.02061","0.00010"
"0.71200","-152.02061","-0.01412"
"0.71600","-152.02061","0.00427"
"0.72100","-152.02061","0.01663"
"0.72200","-152.02061","0.00646"
"0.73200","-152.02061","0.00264"
"0.74200","-152.02061","0.00882"
"0.75200","-152.02061","0.00229"
"0.76200","-152.02061","0.00063"
"0.76400","-152.02061","-0.01182"
"0.76600","-152.02061","0.00973"
"0.77000","-152.02061","-0.00387"
"0.77400","-152.02061","0.00977"
"0.77600","-152.02061","-0.00168"
"0.78600","-152.02061","-0.00270"
"0.79400","-152.02061","0.00787"
"0.79700","-152.02061","-0.00468"
"0.80500","-152.02061","-0.01523"
"0.80800","-152.02061","-0.00358"
"0.80900","-152.02061","0.00781"
"0.81400","-152.02061","-0.00304"
"0.81500","-152.02061","-0.01367"
"0.82000","-152.02061","-0.00077"
"0.82200","-152.02061","0.01066"
"0.82900","-152.02061","-0.00301"
"0.83900","-152.02061","0.00260"
"0.84300","-152.02061","-0.00812"
"0.84500","-152.02061","0.00415"
"0.85500","-152.02061","0.00344"
"0.86200","-152.02061","0.01460"
"0.86700","-152.02063","-0.00225"
"0.87700","-152.02065","-0.00093"
"0.88100","-152.02065","-0.01178"
"0.88700","-152.02065","0.00354"
"0.89200","-152.02065","0.01822"
"0.89400","-152.02065","0.00147"
"0.89500","-152.02065","-0.01148"
"0.89700","-152.02065","-0.00142"
"0.89900","-152.02065","0.01463"
"0.90600","-152.02065","0.00198"
"0.91400","-152.02065","0.01780"
"0.91900","-152.02065","0.00474"
"0.92000","-152.02065","-0.00649"
"0.92500","-152.02065","0.00557"
"0.92700","-152.02065","0.01593"
"0.93200","-152.02065","0.00301"
"0.93300","-152.02065","-0.00840"
"0.94300","-152.02065","0.00294"
"0.94600","-152.02065","-0.00872"
"0.95000","-152.02065","0.00523"
"0.95200","-152.02065","-0.00537"
"0.95600","-152.02065","0.01299"
"0.95900","-152.02065","0.00151"
"0.96900","-152.02065","0.01231"
"0.97200","-152.02065","0.00055"
"0.97800","-152.02065","0.01181"
"0.97900","-152.02065","0.00116"
"0.98200","-152.02065","0.01137"
"0.98600","-152.02065","-0.00002"
"0.99000","-152.02065","0.01074"
"0.99400","-152.02065","0.02136"
"0.99600","-152.02065","0.01127"
"1.00600","-152.02065","0.00678"
"1.01300","-152.02065","-0.01080"
"1.01800","-152.02065","0.00415"
"1.02000","-152.02065","0.01660"
"1.02400","-152.02065","-0.00032"
"1.02600","-152.02065","-0.01094"
"1.02800","-152.02065","0.00475"
"1.03800","-152.02065","-0.00501"
