Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00089"
"0.10000","0.00943","0.00170"
"0.20000","0.02778","0.00666"
"0.30000","0.04461","0.00757"
"0.40000","0.06146","0.02285"
"0.50000","0.07795","0.03185"
"0.60000","0.09466","0.03868"
"0.70000","0.11135","0.03623"
"0.80000","0.12815","0.04684"
"0.90000","0.14463","0.03570"
"1.00000","0.16136","0.05556"
"1.10000","0.17804","0.04524"
"1.20000","0.19469","0.06240"
"1.30000","0.21129","0.06953"
"1.40000","0.22805","0.07584"
"1.50000","0.24481","0.07455"
"1.60000","0.26129","0.09572"
"1.70000","0.27800","0.08310"
"1.80000","0.29466","0.09218"
"1.90000","0.31145","0.10956"
"2.00000","0.32785","0.09256"
"2.10000","0.34464","0.10569"
"2.20000","0.36139","0.11189"
"2.30000","0.37800","0.12071"
"2.40000","0.39462","0.11248"
"2.50000","0.41140","0.13172"
"2.60000","0.42816","0.13290"
"2.70000","0.44466","0.14179"
"2.80000","0.46137","0.14173"
"2.90000","0.47798","0.15634"
"3.00000","0.49473","0.15622"
"3.10000","0.51122","0.15113"
"3.20000","0.52804","0.17812"
"3.30000","0.54476","0.16222"
"3.40000","0.56129","0.17640"
"3.50000","0.57797","0.17162"
"3.60000","0.59471","0.19309"
"3.70000","0.61146","0.19028"
"3.80000","0.62796","0.18863"
"3.90000","0.64472","0.20419"
"4.00000","0.66138","0.19144"
"4.10000","0.67809","0.20542"
"4.20000","0.69455","0.20703"
"4.30000","0.71140","0.20929"
"4.40000","0.72811","0.22943"
"4.50000","0.74461","0.23771"
"4.60000","0.76129","0.21826"
"4.70000","0.77800","0.23227"
"4.80000","0.79479","0.23484"
"4.90000","0.81123","0.24195"
"5.00000","0.82805","0.22747"
"5.10000","0.84475","0.24685"
"5.20000","0.86138","0.25203"
"5.30000","0.87790","0.25051"
"5.40000","0.89477","0.26801"
"5.50000","0.91143","0.27504"
"5.60000","0.92795","0.28022"
"5.70000","0.94471","0.28909"
"5.80000","0.96136","0.28227"
"5.90000","0.97805","0.28968"
"6.00000","0.99454","0.28364"
"6.10000","1.01134","0.29218"
"6.20000","1.02804","0.30041"
"6.30000","1.04466","0.29654"
"6.40000","1.06128","0.33466"
"6.50000","1.07810","0.34124"
"6.60000","1.09477","0.30857"
"6.70000","1.11132","0.32760"
"6.80000","1.12814","0.32902"
"6.90000","1.14474","0.33435"
"7.00000","1.16142","0.32187"
"7.10000","1.17783","0.33816"
"7.20000","1.19471","0.33883"
"7.30000","1.21137","0.33319"
"7.40000","1.22797","0.35009"
"7.50000","1.24463","0.34656"
"7.60000","1.26137","0.35736"
"7.70000","1.27807","0.35412"
"7.80000","1.29459","0.36844"
"7.90000","1.31144","0.36201"
"8.00000","1.32803","0.36238"
"8.10000","1.34477","0.38240"
"8.20000","1.36120","0.38881"
"8.30000","1.37813","0.37304"
"8.40000","1.39473","0.38736"
"8.50000","1.41127","0.39204"
"8.60000","1.42801","0.39771"
"8.70000","1.44472","0.39428"
"8.80000","1.46136","0.40329"
"8.90000","1.47788","0.39830"
"9.00000","1.49477","0.41514"
"9.10000","1.51136","0.40547"
"9.20000","1.52802","0.41893"
"9.30000","1.54455","0.41984"
"9.40000","1.56143","0.44328"
"9.50000","1.57803","0.43180"
"9.60000","1.59463","0.43460"
"9.70000","1.61139","0.45385"
"9.80000","1.62810","0.44323"
"9.90000","1.64477","0.45269"
"10.00000","1.66124","0.45325"
"10.10000","1.67813","0.45575"
"10.20000","1.69468","0.46582"
"10.30000","1.71135","0.46269"
"10.40000","1.72791","0.46000"
"10.50000","1.74472","0.46177"
"10.60000","1.76133","0.48523"
"10.70000","1.77788","0.47411"
"10.80000","1.79479","0.48450"
"10.90000","1.81139","0.48645"
"11.00000","1.82806","0.49187"
"11.10000","1.84457","0.50289"
"11.20000","1.86150","0.49679"
"11.30000","1.87798","0.50829"
"11.40000","1.89464","0.51170"
"11.50000","1.91134","0.51506"
"11.60000","1.92806","0.52435"
"11.70000","1.94466","0.52111"
"11.80000","1.96123","0.52090"
"11.90000","1.97807","0.51800"
"12.00000","1.99465","0.51939"
"12.10000","2.01137","0.52499"
"12.20000","2.02790","0.54596"
"12.30000","2.04480","0.55354"
"12.40000","2.06135","0.54446"
"12.50000","2.07795","0.54707"
"12.60000","2.09474","0.56458"
"12.70000","2.11148","0.55647"
"12.80000","2.12806","0.56091"
"12.90000","2.14458","0.56170"
"13.00000","2.16146","0.57331"
"13.10000","2.17804","0.57966"
"13.20000","2.19469","0.58700"
"13.30000","2.21124","0.59384"
"13.40000","2.22808","0.58181"
"13.50000","2.24461","0.60128"
"13.60000","2.26126","0.57813"
"13.70000","2.27804","0.59257"
"13.80000","2.29473","0.59444"
"13.90000","2.31139","0.61067"
"14.00000","2.32795","0.59823"
"14.10000","2.34485","0.60416"
"14.20000","2.36133","0.60661"
"14.30000","2.37800","0.61114"
"14.40000","2.39464","0.61777"
"14.50000","2.41144","0.61966"
"14.60000","2.42793","0.64220"
